"keys","uz","tr","en"
"cut.ep019_intro.03","Siz juda ko'p ko'rasiz, bek. Ko'zni yopib bo'ladi, qo'lni ham.","Siz çok görüyorsunuz bey. Göz kapatılabilir, el de.","You see too much, bey. An eye can be closed. A hand too."
"cut.ep019_intro.04","Otamning kosasi to'ldi. Endi hamma jim tursin.","Babamın kâsesi doldu. Artık herkes sussun.","My father's cup is full. Let everyone be silent now."
"cut.ep019_intro.05","Bu ta'mni bilaman... Bu taom emas, bu hukm.","Bu tadı biliyorum... Bu yemek değil, bu bir hüküm.","I know this taste... This is not food. This is a verdict."
"cut.ep019_intro.06","Sulton yiqildi! Eshiklarni yoping, hech kim chiqmasin!","Sultan düştü! Kapıları kapatın, kimse çıkmasın!","The sultan has fallen! Bar the doors — let no one leave!"
"cut.ep019_intro.07","Kech bo'ldi, bek. Endi taxt yangi ismni kutmoqda.","Geç kaldınız bey. Artık taht yeni bir isim bekliyor.","Too late, bey. The throne now waits for a new name."
"cut.ep020_intro.01","Bozor ochiq, bek. Lekin hech kim savdo qilmayapti.","Pazar açık bey. Ama kimse alışveriş etmiyor.","The market is open, bey. Yet no one is trading."
"cut.ep020_intro.02","Har burchakda yangi jasad. Konya nafasini yutib turibdi.","Her köşede yeni bir ceset. Konya nefesini tutmuş.","A fresh corpse on every corner. Konya is holding its breath."
"cut.ep020_intro.03","Anavi devordagi mixlar hali qurimagan, bek. Qon yangi.","Şu duvardaki çiviler henüz kurumamış bey. Kan taze.","The nails in that wall are still wet, bey. The blood is fresh."
"cut.ep020_intro.04","Qo'rquv qilichdan tez tarqaladi. Uni faqat guvoh to'xtatadi.","Korku kılıçtan hızlı yayılır. Onu ancak şahit durdurur.","Fear spreads faster than steel. Only a witness can stop it."
"cut.ep020_intro.05","Xush kelibsiz, bek. Shahar bugun juda tartibli, ko'rdingizmi?","Hoş geldiniz bey. Şehir bugün pek düzenli, gördünüz mü?","Welcome, bey. The city is very orderly today — did you notice?"
"cut.ep020_intro.06","Farmon yozildi: bek Ertug'rul Konyaga kelsin. Yolg'iz.","Ferman yazıldı: Bey Ertuğrul Konya'ya gelsin. Yalnız.","The decree is written: Bey Ertugrul shall come to Konya. Alone."
"cut.ep020_intro.07","Kelaman. Yolg'iz emas — men bilan barcha guvohlar keladi.","Geleceğim. Yalnız değil — benimle bütün şahitler gelecek.","I will come. Not alone — every witness comes with me."
"chr.kopek.name","Sa'd al-Din Ko'pak","Sadettin Köpek","Sa'd al-Din Kopek"
"chr.kayqubad.name","Sulton Alouddin Kayqubod","Sultan Alâeddin Keykubad","Sultan Alaeddin Kayqubad"
"chr.kaykhusraw.name","G'iyosiddin Kayxusrav II","Gıyaseddin Keyhüsrev II","Ghiyath al-Din Kaykhusraw II"
"chr.kir_khan.name","Kir Xon","Kır Han","Kir Khan"
"chr.rumi.name","Jaloliddin Rumiy","Celâleddin Rûmî","Jalal al-Din Rumi"
"chr.gunduz.name","Gunduz","Gündüz","Gunduz"
"chr.orphan_boy.name","Yetim bola","Öksüz çocuk","Orphan Boy"
