keys,uz,tr,en
"cut.ep034_intro.02","Bugun so'nggi tinch kun. Ertaga nog'ora uriladi.","Bugün son sakin gün. Yarın davullar vurulacak.","Today is the last quiet day. Tomorrow the drums speak."
"cut.ep034_intro.03","Qilichni charxladim, bek. Bilagingizga bog'lab qo'yaymi?","Kılıcı biledim. Bileğine bağlayayım mı bey?","I sharpened the blade. Shall I bind it to your wrist?"
"cut.ep034_intro.04","Bog'la. Qilich endi qo'ldan emas, niyatdan tushadi.","Bağla. Kılıç artık elden değil, niyetten düşer.","Bind it. A blade now falls from will, not hand."
"cut.ep034_intro.05","Bek, haqingizni halol qiling. Agar men qaytmasam...","Bey, hakkınızı helal edin. Eğer dönmezsem...","Bey, grant me your blessing. If I do not return..."
"cut.ep034_intro.06","Halol bo'lsin, Bamsi. Sen ham mendan haqingni ol.","Helal olsun Bamsı. Sen de hakkını benden al.","It is granted, Bamsi. Take what is yours from me."
"cut.ep034_intro.07","Tong yaqin. Har birimiz bir narsa qoldiramiz.","Şafak yakın. Her birimiz bir şey bırakırız.","Dawn is near. Each of us leaves something behind."
"chr.yakub.name","Yoqub Savdogar","Yakup Tüccar","Yakub the Merchant"
"chr.mongol_chavandoz.name","Mo'g'ul chavandozi","Moğol Süvarisi","Mongol Rider"
"chr.arslan_bek.name","Arslon Bek","Arslan Bey","Arslan Bey"
"chr.tashchi_bola.name","Toshkash bola","Taş Taşıyan Çocuk","Stone-Carrier Boy"
"chr.uygur_kotib.name","Uyg'ur kotibi","Uygur Kâtip","Uyghur Scribe"
"chr.keyhusrev.name","Kayxusrav II","II. Keyhüsrev","Kaykhusraw II"
