keys,uz,tr,en
"cut.ep037_intro.01","Uch yuz o'ttiz olti. Har arava — bir qish.","Üç yüz otuz altı. Her araba bir kış demek.","Three hundred thirty six. Each cart is one winter gone."
"cut.ep037_intro.02","O'n ikki million tanga, besh ming qo'y. Yozildi.","On iki milyon akçe, beş bin koyun. Yazıldı.","Twelve million coins, five thousand sheep. It is written."
"cut.ep037_intro.03","Bek, bu son emas. Bu — obaning qorni.","Bey, bu sayı değil. Bu obanın karnı.","Bey, that is not a number. That is our bread."
"cut.ep037_intro.04","Bilaman. Shuning uchun har arava sanalishi kerak.","Biliyorum. Bu yüzden her araba sayılmalı.","I know. That is why every cart must be counted."
"cut.ep037_intro.05","Qo'ling nogiron ekan. Unda soliging yarim bo'lsin.","Elin sakatmış. Öyleyse vergin yarı olsun.","Your hand is crippled. Then pay only half the tax."
"cut.ep037_intro.06","Yarmi ham og'ir. Lekin men to'liq to'layman.","Yarısı da ağır. Ama ben tamamını öderim.","Half is heavy too. Yet I will pay in full."
"cut.ep038_intro.01","Bir ming ikki yuz jon. Hammasi seni kutyapti.","Bin iki yüz can. Hepsi seni bekliyor.","Twelve hundred souls. Every one of them waits for you."
"cut.ep038_intro.02","Ular meni emas, yo'lni kutishyapti. Yo'l g'arbda.","Beni değil, yolu bekliyorlar. Yol batıda.","They wait for the road, not for me. It runs west."
"cut.ep038_intro.03","Qariyalar ortda qolyapti. Ularni kim ko'tarib boradi?","Yaşlılar geride kalıyor. Onları kim taşıyacak?","The old ones fall behind. Who will carry them onward?"
"cut.ep038_intro.04","Ko'chgan el orqasiga qaramaydi, deyishardi. Yolg'on ekan.","Göçen el geriye bakmaz derlerdi. Yalanmış.","They said a moving tribe never looks back. They lied."
"cut.ep038_intro.05","Bu safar qaraymiz. Va hech kimni qoldirmaymiz.","Bu sefer bakacağız. Ve kimseyi bırakmayacağız.","This time we look back. And we leave no one."
"cut.ep038_intro.06","Qo'ling yana qonayapti. Kechqurun bog'lab qo'yaman.","Elin yine kanıyor. Akşam onu sararım.","Your hand is bleeding again. I will bind it tonight."
"cut.ep038_intro.07","Sakarya ortida yangi tuproq bor. Yurishda davom etamiz.","Sakarya'nın ardında yeni toprak var. Yürümeye devam ediyoruz.","New earth lies beyond the Sakarya. We keep walking."
"cut.ep039_intro.01","O'ttiz uy. O'n oltitasidan hali tutun chiqyapti.","Otuz ev. On altısından hâlâ duman çıkıyor.","Thirty houses. Sixteen of them still have smoke rising."
"cut.ep039_intro.02","Bek, eshiklar ichkaridan berkitilgan. Ular bizdan qo'rqishyapti.","Bey, kapılar içeriden sürgülü. Bizden korkuyorlar.","Bey, the doors are barred from inside. They fear us."
"cut.ep039_intro.03","Bu yerga oldin ham kelganlar bo'lgan. Hammasi ketgan.","Buraya önce de gelenler oldu. Hepsi gitti.","Others came here before you. Every one of them left."
"cut.ep039_intro.04","Biz ketmaymiz, ota. Biz bu yerda qolamiz.","Biz gitmeyeceğiz, baba. Biz burada kalacağız.","We will not leave, old father. We stay here."
"cut.ep039_intro.05","Har kelgan shuni aytgan. Faqat qabrlari qolgan.","Her gelen bunu söyledi. Sadece mezarları kaldı.","Everyone who came said that. Only their graves stayed."
"cut.ep039_intro.06","Unda mixni devorga qoqaman. Devor esda tutsin.","O hâlde çiviyi duvara çakarım. Duvar hatırlasın.","Then I drive a nail into the wall. Let it remember."
"cut.ep040_intro.01","Bek, ovqat berishdi. Na pul, na ismimizni so'rashdi.","Bey, yemek verdiler. Ne para sordular, ne adımızı.","Bey, they fed us. They asked neither coin nor name."
"cut.ep040_intro.02","Bu yerda mehmon so'ramaydi, ostona o'zi beradi.","Burada misafir istemez, eşik kendi verir.","Here a guest does not ask. The threshold itself gives."
"cut.ep040_intro.03","Har berilgan nonning orqasida bir hisob turadi.","Her verilen ekmeğin ardında bir hesap vardır.","Behind every loaf given there stands some reckoning."
"cut.ep040_intro.04","Hisob bor: ertaga bizning o'choqda bir kun ishlaysan.","Hesap var: yarın ocağımızda bir gün çalışacaksın.","There is one: tomorrow you work a day at our forge."
"cut.ep040_intro.05","Qo'lim shikast, usta. Bolg'a menga bo'ysunmaydi.","Elim sakat, usta. Çekiç bana boyun eğmez.","My hand is broken, master. The hammer will not obey."
"cut.ep040_intro.06","Bolg'a kuch emas, ritm so'raydi. Ritmni yurak beradi.","Çekiç güç değil, ritim ister. Ritmi yürek verir.","A hammer asks rhythm, not strength. The heart gives rhythm."
"cut.ep041_intro.01","Bek, devor baland. Narvonlarimiz yetmaydi, o'lchab ko'rdik.","Bey, duvar yüksek. Merdivenlerimiz yetmiyor, ölçtük.","Bey, the wall is high. Our ladders fall short."
"cut.ep041_intro.02","Devorni ko'z bilan emas, kaft bilan o'qiydilar.","Bir duvar gözle değil, avuçla okunur.","A wall is read with the palm, not the eye."
"cut.ep041_intro.03","Mana bu toshlar yangi. Bu yer ta'mirlangan, bek.","Şu taşlar yeni. Burası onarılmış, bey.","These stones are new. This section was repaired, bey."
"cut.ep041_intro.04","Ta'mir — yara izi. Yara esa har doim zaif.","Onarım bir yara izidir. Yara ise hep zayıftır.","A repair is a scar. And scars are always weak."
"cut.ep041_intro.05","Podkopmi, taranmi? Aytsangiz, tunda ish boshlaymiz.","Lağım mı, koç başı mı? Söyleyin, gece başlarız.","Tunnel or ram? Say the word and we start tonight."
"cut.ep041_intro.06","Ikkisi ham. Biri ko'rinsin, ikkinchisi ko'rinmasin.","İkisi de. Biri görünsün, diğeri görünmesin.","Both. Let one be seen, and the other stay hidden."
