keys,uz,tr,en
"ep.ep011.intro","Suv ostidasiz: ekran ko'k, nafas tugayapti, tepadagi panjarani qo'lingiz bilan ochasiz.","Su altındasınız: ekran mavi, nefes tükeniyor, yukarıdaki demir kafesi elinizle açarsınız.","You are underwater: the screen is blue, your breath is failing, and you force the grate open by hand."
"ep.ep011.cliffhanger","Turgut zindonda Ertug'rulga tashlanadi - u endi do'stini umuman tanimaydi.","Turgut zindanda Ertuğrul'a saldırır - dostunu artık hiç tanımıyor.","In the dungeon Turgut attacks Ertugrul - he no longer recognizes his friend at all."
"ep.ep012.title","Bagras","Bağras","Bagras"
"ep.ep012.synopsis","To'rt ming ayyubiy askari Bagrasni qamal qiladi va mag'lub bo'ladi. Yagona g'alabangiz - Turgutni olib chiqish.","Dört bin Eyyubi askeri Bağras'ı kuşatır ve yenilir. Sizin tek zaferiniz Turgut'u dışarı çıkarmaktır.","Four thousand Ayyubid soldiers besiege Bagras and lose. Your only victory is getting Turgut out alive."
"ep.ep012.intro","Mancinik arqonini uch kishi bilan birga tortasiz; tosh uchadi va devorga urilib chang ko'taradi.","Mancınığın halatını üç kişiyle birlikte çekersiniz; taş havalanır ve sura çarpıp toz kaldırır.","You haul the trebuchet rope with three others; the stone flies and slams into the wall in a cloud of dust."
"ep.ep012.cliffhanger","Qamal barbod. Konyadan chopar keladi: Sulton Alauddin chaqiryapti, sharqdan Jaloliddin yaqinlashmoqda.","Kuşatma başarısız. Konya'dan haberci gelir: Sultan Alaeddin çağırıyor, doğudan Celaleddin yaklaşıyor.","The siege fails. A rider comes from Konya: Sultan Alaeddin summons you; Jalaladdin nears from the east."
"ep.ep013.title","Yassıçemen","Yassıçemen","Yassichemen"
"ep.ep013.synopsis","Yassıçemen maydonida yigirma ming saljuqiy Jaloliddin Manguberdiga qarshi turadi. Siz chap qanotni ushlaysiz.","Yassıçemen ovasında yirmi bin Selçuklu, Celaleddin Harezmşah'a karşı durur. Siz sol kanadı tutarsınız.","At Yassichemen twenty thousand Seljuks face Jalaladdin Manguberdi. Your task is to hold the left wing."
"ep.ep013.intro","Jang tongida saflar orasida yurasiz; har alp bilan gaplashsangiz bo'ladi, so'ng nog'ora uriladi.","Savaş sabahında safların arasında yürürsünüz; her alple konuşabilirsiniz, sonra davul vurulur.","On the morning of battle you walk between the ranks; you may speak to any alp, then the drums begin."
"ep.ep013.cliffhanger","G'alabadan so'ng sulton so'raydi: Sen kimsan? Uning yonidagi bir kishi jilmayadi - Sa'd al-Din Köpek.","Zaferden sonra sultan sorar: Sen kimsin? Yanındaki bir adam gülümser - Sadettin Köpek.","After the victory the sultan asks: Who are you? Beside him a man smiles - Sadettin Kopek."
"ep.ep014.title","Ov boshlig'i","Av beyi","The Master of the Hunt"
"ep.ep014.synopsis","Sulton ovida suiqasd fosh bo'ladi. Sizga yordam beruvchi kishi - Sa'd al-Din Köpek, bo'lajak dushmaningiz.","Sultanın avında bir suikast ortaya çıkar. Size yardım eden adam Sadettin Köpek'tir: gelecekteki düşmanınız.","A plot against the sultan surfaces during the royal hunt. The man who helps you is Kopek, your future enemy."
"ep.ep014.intro","Sulton ovida Köpek yoningizda yuradi, hazillashadi va sizni himoya qiladi - u chinakam yoqimli.","Sultan avında Köpek yanınızda yürür, şakalaşır ve sizi korur - gerçekten hoş bir adamdır.","On the sultan's hunt Kopek rides beside you, jokes with you, and shields you - he is genuinely likeable."
"ep.ep014.cliffhanger","Sulton sizga Karacadağni beradi. Köpek qarsak chaladi, lekin ketayotib yuzidan tabassum o'chadi.","Sultan size Karacadağ'ı verir. Köpek alkışlar, ama giderken yüzündeki gülümseme siliniverir.","The sultan grants you Karacadag. Kopek applauds, but as he leaves the smile fades from his face."
"ep.ep015.title","Karacadağ: birinchi tosh","Karacadağ: ilk taş","Karacadag: The First Stone"
"ep.ep015.synopsis","Bo'sh yerda yangi oba quriladi: to'qqiz bino, resurs, ishchi taqsimoti va birinchi temirxona. Jangsiz epizod.","Boş toprakta yeni bir oba kurulur: dokuz yapı, kaynak, işçi dağılımı ve ilk demirhane. Savaşsız bir bölüm.","A new camp rises on empty ground: nine buildings, resources, workers, and the first forge. No battle here."
"ep.ep015.intro","Birinchi qoziqni bolg'a bilan o'zingiz qoqasiz; har zarbada kamera ortga chekinadi va oba qad rostlaydi.","İlk kazığı balyozla kendiniz çakarsınız; her vuruşta kamera geri çekilir ve oba yükselir.","You drive the first stake yourself; with each blow the camera pulls back and the camp takes shape."
"ep.ep015.cliffhanger","Kechqurun chegarada olov ko'rinadi: uch ming xorazmiy qochoq ochlikdan qirilmoqda.","Akşam sınırda ateşler görünür: üç bin Harezmli mülteci açlıktan kırılıyor.","At dusk fires appear on the border: three thousand Khwarezmian refugees are starving to death."
"ep.ep016.title","Yetim qo'shin","Yetim ordu","The Orphan Army"
"ep.ep016.synopsis","O'n ikki ming xorazmiy askar egasiz qolgan. Ularni qabul qilsangiz kuch olasiz, lekin Köpekni dushman qilasiz.","On iki bin Harezmli asker sahipsiz kalmış. Onları kabul ederseniz güç kazanır ama Köpek'i düşman edersiniz.","Twelve thousand Khwarezmian soldiers are left masterless. Take them in and you gain strength, but lose Kopek."
"ep.ep016.intro","Ochlikdan o'layotgan lagerda yurasiz; bir bola non so'raydi, xurjuningizda esa uchta non bor.","Açlıktan ölen bir kampta yürürsünüz; bir çocuk ekmek ister, heybenizde ise üç ekmek vardır.","You walk through a starving camp; a child asks for bread and you carry exactly three loaves."
"ep.ep016.cliffhanger","Kır Xan ogohlantiradi: Bir kun keladi, siz ham qochasiz. O'shanda men sizga joy beraman.","Kır Han uyarır: Bir gün gelecek, siz de kaçacaksınız. O zaman size yer vereceğim.","Kir Khan warns him: A day will come when you flee too. Then I will give you a place."
"ep.ep017.title","Konya: sultonning kutubxonasi","Konya: sultanın kütüphanesi","Konya: The Sultan's Library"
"ep.ep017.synopsis","Konya kutubxonasida hujjat, muhr va so'z bilan kurash boradi. Maqsad - uc beylik maqomini rasmiylashtirish.","Konya kütüphanesinde belge, mühür ve sözle bir mücadele sürer. Amaç, uç beyliğinizi resmen tescil ettirmektir.","In Konya's library the fight is waged with documents, seals, and words: make your border lordship official."
"ep.ep017.intro","Kitoblar orasida yurasiz; har jildni ochish mumkin, burchakda esa yigirma olti yoshli Rumiy o'qiyapti.","Kitapların arasında yürürsünüz; her cildi açabilirsiniz, köşede yirmi altı yaşındaki Rumi okuyor.","You wander among the books; each volume opens, and in a corner a twenty-six-year-old Rumi reads."
"ep.ep017.cliffhanger","Köpek eslatib qo'yadi: Men sizga yordam berdim, bek. Bir kun men ham sizdan so'rayman.","Köpek hatırlatır: Size yardım ettim bey. Bir gün ben de sizden isteyeceğim.","Kopek reminds him: I helped you, bey. One day I will ask something of you in return."
"ep.ep018.title","Domaniç yozi","Domaniç yazı","Summer in Domanic"
"ep.ep018.synopsis","Domaniç yaylovida uch tinch kun: nikoh, bayram va hunar. So'ng chorva orasiga quturish kasali tarqaladi.","Domaniç yaylasında üç sakin gün: düğün, bayram ve zanaat. Sonra sürünün içine kuduz hastalığı bulaşır.","Three quiet days on the Domanic highland: a wedding, a feast, crafts. Then rabies reaches the herds."
"ep.ep018.intro","Yozgi yaylovda to'rt yoshli o'g'lingizga kamon yasab berasiz va otishni o'rgatasiz.","Yaz yaylasında dört yaşındaki oğlunuza bir yay yapar ve atmayı öğretirsiniz.","On the summer pasture you craft a bow for your four-year-old son and teach him to shoot."
"ep.ep018.cliffhanger","Chopar xabar keltiradi: Sulton kasal, u sizni zudlik bilan Kubadabadga chaqirtiryapti.","Haberci haber getirir: Sultan hasta, sizi acilen Kubadabad'a çağırtıyor.","A messenger arrives: The sultan is ill and summons you to Kubadabad at once."
"ep.ep019.title","Zaharlangan taom","Zehirli yemek","The Poisoned Feast"
"ep.ep019.synopsis","Kayserida ziyofat. Sulton Alauddin zaharlanadi va siz besh daqiqada ko'rganingizni eslashingiz kerak.","Kayseri'de bir ziyafet. Sultan Alaeddin zehirlenir ve beş dakikada gördüklerinizi hatırlamanız gerekir.","A banquet in Kayseri. Sultan Alaeddin is poisoned, and you must recall what you saw in those five minutes."
"ep.ep019.intro","Ziyofat stolida o'tirasiz; kamera erkin, hech kim sizga hech narsa demaydi - shunchaki qarang.","Ziyafet sofrasında oturursunuz; kamera serbest, kimse size bir şey söylemez - sadece bakın.","You sit at the banquet table; the camera is free and nobody guides you - simply watch everything."
"ep.ep019.cliffhanger","Keyxusrav II taxtga o'tiradi. Uning yonida Köpek turadi va endi u aslo jilmaymaydi.","İkinci Keyhüsrev tahta oturur. Yanında Köpek durur ve artık hiç gülümsemiyor.","Kaykhusraw II takes the throne. Kopek stands at his side, and he no longer smiles."
"ep.ep020.title","Köpek hukmronligi","Köpek'in saltanatı","The Reign of Kopek"
"ep.ep020.synopsis","Bir yillik terror: Kır Xan, atabek, malika va parvona o'ldiriladi. Siz guvohlarni yashirishingiz kerak.","Bir yıllık terör: Kır Han, atabey, melike ve pervane öldürülüyor. Siz tanıkları saklamak zorundasınız.","A year of terror: Kir Khan, the atabeg, the queen mother, and the pervane die. You must hide the witnesses."
"ep.ep020.intro","Konya tongida yurasiz: har burchakda yangi jasad, bozor ochiq, lekin hech kim gapirmaydi.","Konya sabahında yürürsünüz: her köşede yeni bir ceset, çarşı açık ama kimse konuşmuyor.","You walk Konya at dawn: a fresh corpse on every corner, the market open, and nobody speaking."
"ep.ep020.cliffhanger","Köpek obangizga rasmiy farmon yuboradi: Bek Ertug'rul Konyaga kelsin. Yolg'iz kelsin.","Köpek obanıza resmi bir ferman yollar: Ertuğrul Bey Konya'ya gelsin. Yalnız gelsin.","Kopek sends a decree to your camp: Ertugrul Bey is to come to Konya. He is to come alone."
"ep.ep021.title","Yolg'iz kelasan","Yalnız geleceksin","You Will Come Alone"
"ep.ep021.synopsis","Bo'sh Zazadin Handa ikki kishi, bitta stol va o'n sakkiz almashuvli so'z dueli. Bu yerda qilich chiqmaydi.","Boş Zazadin Han'da iki kişi, bir masa ve on sekiz replikalık bir söz düellosu. Burada kılıç çekilmez.","In the empty Zazadin Han: two men, one table, and an eighteen-exchange duel of words. No blades drawn."
"ep.ep021.intro","Yolg'iz otda kelasiz; ikki yuz kishilik karvonsaroy bo'm-bo'sh, faqat Köpek stol ortida kutadi.","Yalnız atla gelirsiniz; iki yüz kişilik kervansaray bomboş, sadece Köpek masada bekliyor.","You ride in alone; the caravanserai built for two hundred is empty, and only Kopek waits at the table."
"ep.ep021.cliffhanger","Köpek orqangizdan aytadi: Bek! Qo'lingizni asrang. Chegarada qo'l juda kerak bo'ladi.","Köpek arkanızdan seslenir: Bey! Elini koru. Sınırda el çok gerekli olacak.","Kopek calls after him: Bey! Guard your hand. On the frontier a hand will be needed."
"ep.ep022.title","Chegara yonmoqda","Sınır yanıyor","The Border Burns"
"ep.ep022.synopsis","Sharqda yong'in, chegarada qochqinlar. Mudofaani o'zingiz quriyapsiz: qoziq, ariq, kamonchi joyi va o't.","Doğuda yangın, sınırda mülteciler. Savunmayı kendiniz kurarsınız: kazık, hendek, okçu mevzisi ve ateş.","Fires in the east, refugees at the border. You build the defense yourself: stakes, ditches, archers, fire."
"ep.ep022.intro","Tunda qorovulda turasiz. Ufqda qizil yorug'lik: uch kunlik yo'ldagi yong'in shu yerdan ko'rinadi.","Gece nöbettesiniz. Ufukta kızıl bir ışık: üç günlük yoldaki yangın buradan görünüyor.","You stand watch at night. A red glow on the horizon: a fire three days away, visible even here."
"ep.ep022.cliffhanger","O'lgan mo'g'ul skautining qo'ynidan obangizning chizmasi chiqadi. Kimdir ularga xarita bergan.","Ölen Moğol keşifçinin koynundan obanızın krokisi çıkar. Biri onlara harita vermiş.","A sketch of your camp is found on the dead Mongol scout. Someone gave them the map."
"ep.ep023.title","Köpekning oxiri","Köpek'in sonu","The End of Kopek"
"ep.ep023.synopsis","Köpek o'ldirildi va jasadi saroy devoriga osildi. Yonayotgan saroyda uning hujjatlarini topishingiz kerak.","Köpek öldürüldü ve cesedi saray suruna asıldı. Alevler içindeki sarayda onun belgelerini bulmanız gerekiyor.","Kopek has been killed and hung from the palace wall. Find his papers before the burning palace takes them."
"ep.ep023.intro","Konyaga kech yetib kelasiz: saroy devorida osilgan jasad, sizdan boshqa kimdir ulgurgan.","Konya'ya geç varırsınız: saray surunda asılı bir ceset, sizden önce başkası yetişmiş.","You reach Konya too late: a body hangs from the palace wall, someone else got there first."
"ep.ep023.cliffhanger","Hujjatlar orasida xarita va mo'g'ul paizasi bor. Demak, kimdir saroy ichidan sotgan.","Belgelerin arasında bir harita ve bir Moğol paizası var. Demek biri saraydan satmış.","Among the papers lie a map and a Mongol paiza. Someone inside the palace has sold them out."
"ep.ep024.title","Mix","Çivi","The Nail"
"ep.ep024.synopsis","Ta'qib tuzoqqa aylanadi. Ertug'rulning o'ng qo'li stolga bosiladi va bolg'a tushadi. Bu qo'l qaytmaydi.","Takip bir tuzağa dönüşür. Ertuğrul'un sağ eli masaya bastırılır ve balyoz iner. O el bir daha geri gelmez.","The chase becomes a trap. Ertugrul's right hand is pinned to the table and the hammer falls. It never heals."
"ep.ep024.intro","Qorli tunda o'n ikki qorovulni o'tib oxirgi eshikni ochasiz - va ichkarida hech kim yo'q.","Karlı gecede on iki nöbetçiyi geçip son kapıyı açarsınız - ve içeride kimse yoktur.","On a snowy night you slip past twelve guards and open the last door - and the room is empty."
"ep.ep024.cliffhanger","Ertug'rul qorda emaklaydi. Uzoqdan tuyoq ovozi: yigirma otliq, kigiz shlyapa, kamon. Birinchi mo'g'ullar.","Ertuğrul karda sürünür. Uzaktan nal sesi: yirmi atlı, keçe şapka, yay. İlk Moğollar.","Ertugrul crawls through the snow. Hoofbeats near: twenty riders, felt hats, bows. The first Mongols."
"ep.ep025.title","Qorda uch kun","Karda üç gün","Three Days in the Snow"
"ep.ep025.synopsis","Qorda uch kun: isinish, yarani kuydirish va ovqat topish. Har bir harakat endi bir qo'l bilan bajariladi.","Karda üç gün: ısınmak, yarayı dağlamak ve yiyecek bulmak. Artık her bir hareket yalnızca tek elle yapılır.","Three days in the snow: keep warm, cauterize the wound, find food. Every single action now uses one hand."
"ep.ep025.intro","Qorda yotibsiz. Turishga uch marta urinasiz, ikki marta yiqilasiz. Musiqa yo'q, faqat shamol.","Karda yatıyorsunuz. Kalkmayı üç kez denersiniz, iki kez düşersiniz. Müzik yok, sadece rüzgar.","You lie in the snow. You try to rise three times and fall twice. No music, only the wind."
"ep.ep025.cliffhanger","Uchinchi kuni bir g'or ko'rinadi. Ichkarida olov yonadi va olov yonida bir chol o'tiribdi.","Üçüncü gün bir mağara görünür. İçeride ateş yanıyor ve ateşin başında bir ihtiyar oturuyor.","On the third day a cave appears. A fire burns inside, and beside the fire sits an old man."
"ep.ep026.title","Chap qo'l yo'li","Sol el yolu","The Way of the Left Hand"
"ep.ep026.synopsis","Chap qo'lda qilich tutishni qaytadan o'rganasiz. Yangi animatsiya, yangi ritm va yangi mahorat daraxti.","Sol elle kılıç tutmayı yeniden öğrenirsiniz: yeni animasyonlar, yeni bir ritim ve yeni bir yetenek ağacı.","You relearn how to hold a sword with your left hand: new animations, a new rhythm, and a new skill tree."
"ep.ep026.intro","Chol choy uzatadi. O'ng qo'l tugmasi ishlamaydi. Chap qo'l tugmasini bosasiz va piyola qo'lga tushadi.","İhtiyar çay uzatır. Sağ el tuşu işlemez. Sol el tuşuna basarsınız ve bardak elinize gelir.","The old man offers tea. The right-hand button does nothing. You press the left, and the cup is yours."
"ep.ep026.cliffhanger","Chol xayrlashadi: Endi bor. Lekin bilib qo'y - obangda seni ko'mishgan. Sening qabring bor.","İhtiyar uğurlar: Şimdi git. Ama bil ki obanda seni gömdüler. Senin bir mezarın var.","The old man sends him off: Go now. But know this - your tribe buried you. You have a grave."
"ep.ep027.title","O'z qabringni ko'rish","Kendi mezarını görmek","Seeing Your Own Grave"
"ep.ep027.synopsis","O'z obangizda begonasiz va toshda ismingiz yozilgan. Beklikni kuch bilan emas, isbot bilan qaytarasiz.","Kendi obanızda yabancısınız ve mezar taşında adınız yazılı. Beyliği güçle değil, ispatla geri alırsınız.","A stranger in your own camp, your name cut into a gravestone. You win the beylik back with proof, not force."
"ep.ep027.intro","Tepalikdan pastga tushasiz: bayroq boshqa, sizni hech kim tanimaydi va bir bola sizdan qochadi.","Tepeden aşağı inersiniz: bayrak başka, kimse sizi tanımaz ve bir çocuk sizden kaçar.","You come down the hill: the banner has changed, no one knows you, and a child runs from you."
"ep.ep027.cliffhanger","Halima qaraydi va aytadi: Sen qaytding, lekin sen endi boshqa odamsan. Ertug'rul: Ha.","Halime bakar ve söyler: Döndün, ama sen artık başka bir adamsın. Ertuğrul: Evet.","Halime looks at him and says: You came back, but you are another man. Ertugrul answers: Yes."
"ep.ep028.title","Paiza","Paiza","Paiza"
