keys,uz,tr,en
Q2_3_OBJ_EAVESDROP,"Tegirmondagi suhbatni tingla","Degirmendeki konusmayi dinle","Eavesdrop on the mill meeting"
Q2_3_OBJ_COUNCIL,"Kengashda dalillarni korsat","Kurultayda delilleri sun","Present the evidence at the council"
Q2_3_OBJ_CHASE,"Qochayotgan Kurdoglini quv","Kacan Kurdoglu'yu kovala","Chase the fleeing Kurdoglu"
Q2_3_OBJ_FATE,"Kurdogli taqdirini hal qil","Kurdoglu'nun kaderini belirle","Decide Kurdoglu's fate"
Q3_1_TITLE,"Amanos qalasiga infiltratsiya","Amanos kalesine sizma","Infiltrating Amanos Castle"
Q3_1_OBJ_DISGUISE,"Rohib libosini kiy","Rahip cubbesini giy","Wear the monk's robe"
Q3_1_OBJ_GATE_CHECK,"Darvoza tekshiruvidan ot","Kapi kontrolunden gec","Pass the gate inspection"
Q3_1_OBJ_BLEND,"Hovlida rohiblarga qoshil","Avluda rahiplere karis","Blend in with the monks"
Q3_1_OBJ_GUARDS,"Darvoza soqchilarini yoq qil","Kapi muhafizlarini yok et","Eliminate the gate guards"
Q3_1_OBJ_YIGIT,"Zindondan Yigitni top","Zindanda Yigit'i bul","Find Yigit in the dungeon"
Q3_1_OBJ_OPEN_GATE,"Darvozani och","Kapiyi ac","Open the gate"
Q3_2_TITLE,"Qala hovlisi jangi","Kale avlusu savasi","Battle in the Castle Yard"
Q3_2_OBJ_GATE,"Darvoza zonasini ushlab tur","Kapi bolgesini tut","Hold the gate zone"
Q3_2_OBJ_PRIEST,"Ruhoniy-ofitserni birinchi oldir","Once rahip-subayi oldur","Kill the priest officer first"
Q3_2_OBJ_CHURCH,"Cherkov oldini tozala","Kilise onunu temizle","Clear the churchyard"
Q3_2_OBJ_CART,"Yonayotgan aravani itar","Yanan arabayi it","Push the burning cart"
Q3_2_OBJ_STAIRS,"Minora zinasidan yuqoriga chiq","Kule merdiveninden cik","Climb the tower stairs"
Q3_3_TITLE,"Final: Titus","Final: Titus","Final: Titus"
Q3_3_OBJ_SHIELD,"Parry bilan qalqonni sindir","Savusturarak kalkani kir","Break his shield with parries"
Q3_3_OBJ_LONGSWORD,"Uzun qilich fazasidan omon qol","Uzun kilic evresinden sag cik","Survive the longsword phase"
Q3_3_OBJ_RAGE,"Yaralangan gazabga bardosh ber","Yarali gazaba dayan","Endure the wounded rage"
Q3_3_OBJ_FINISHER,"Alp zarbasi bilan yakunla","Alp vurusuyla bitir","Finish with the Alp Strike"
Q3_3_OBJ_HALIMA,"Halimani qutqar","Halime'yi kurtar","Save Halime"
Q3_3_OBJ_MOURNING,"Sulaymon Shohni songgi yolga kuzat","Suleyman Sah'i ugurla","Mourn Suleyman Shah"
Q4_1_TITLE,"Chegaradagi pistirma","Sinirdaki pusu","Ambush at the Border"
Q4_1_OBJ_RIDE,"Qorli daraga yet","Karli gecide var","Reach the snowy pass"
Q4_1_OBJ_TRACKS,"Mogul izlarini organ","Mogol izlerini incele","Study the Mongol tracks"
Q4_1_OBJ_MOUNTED,"Otda Keshiklarni yiqit","Atla Kesikleri dusur","Unhorse the Keshiks"
Q4_1_OBJ_LASSO,"Arqonli askarlarni yoq qil","Kementci askerleri yok et","Destroy the lasso warriors"
Q4_1_OBJ_TUGTEKIN,"Tugtekin bilan birga zarba ber","Tugtekin ile birlikte vur","Strike together with Tugtekin"
Q4_1_OBJ_BETRAYAL,"Hamza xiyonatiga guvoh bol","Hamza'nin ihanetine sahit ol","Witness Hamza's betrayal"
Q4_2_TITLE,"Qiynoq va mix","Iskence ve civi","The Torture and the Nail"
Q4_2_OBJ_BREATH,"Nafasingni ritmda ushla","Nefesini ritimde tut","Keep your breathing in rhythm"
Q4_2_OBJ_RESIST,"Sinmasdan qarshilik korsat","Kirilmadan diren","Resist without breaking"
Q4_2_OBJ_ANSWER,"Noyanga javob ber","Noyan'a cevap ver","Answer Noyan"
Q4_2_OBJ_NAIL,"Mixga bardosh ber","Civiye dayan","Endure the nail"
Q4_3_TITLE,"Bir qolli qochish","Tek elle kacis","One-Handed Escape"
Q4_3_OBJ_CAGE,"Qafasdan chiq","Kafesten cik","Escape the cage"
Q4_3_OBJ_BANDAGE,"Qon ketishni toxtat","Kanamayi durdur","Stop the bleeding"
Q4_3_OBJ_HORSES,"Otlarni qoyib yubor","Atlari salivar","Release the horses"
Q4_3_OBJ_DOGS,"Itlardan yashirin","Kopeklerden gizlen","Hide from the dogs"
Q4_3_OBJ_TRAIL,"Qordagi izingni yoqot","Kardaki izini kaybet","Erase your tracks in the snow"
Q4_3_OBJ_TANGUT,"Tangutdan qoch","Tangut'tan kac","Escape Tangut"
Q4_3_OBJ_RIVER,"Daryoga sakra","Nehre atla","Jump into the river"
Q5_1_TITLE,"Temirchilikka qaytish","Demirciligie donus","Return to the Forge"
Q5_1_OBJ_MEDICINE,"Artuq Bey bilan dori tayyorla","Artuk Bey ile ilac hazirla","Prepare medicine with Artuk Bey"
Q5_1_OBJ_FOREST,"Geyikli Bobo bilan ormonda yur","Geyikli Baba ile ormanda yuru","Walk the forest with Geyikli Baba"
Q5_1_OBJ_RETURN,"Obaga qayt","Obaya don","Return to the camp"
Q5_1_OBJ_FORGE,"Zikr ritmida qilichni yasa","Zikir ritminde kilici dov","Forge the sword to the rhythm of zikr"
Q5_1_OBJ_BIND,"Qilichni qolingga bogla","Kilici eline bagla","Bind the sword to your hand"
Q5_1_OBJ_RAGE,"Gazab zarbasini sinab kor","Gazap vurusunu dene","Test the Rage Strike"
Q5_2_TITLE,"Iymon sinovi","Iman sinavi","Test of Faith"
Q5_2_OBJ_POSITION,"Alplarni uch nuqtaga joylashtir","Alplari uc noktaya yerlestir","Position the alps at three points"
Q5_2_OBJ_BREAK,"Gazab zarbasi bilan qalqonni yor","Gazap vurusuyla kalkani yar","Shatter the shield with Rage Strike"
Q5_2_OBJ_ULUBILGE,"Ulubilgani maglub et","Ulubilge'yi yen","Defeat Ulubilge"
Q5_2_OBJ_FATE,"Ulubilga taqdirini hal qil","Ulubilge'nin kaderini belirle","Decide Ulubilge's fate"
Q6_1_TITLE,"Beyliklarni birlashtirish","Beylikleri birlestirmek","Uniting the Beyliks"
Q6_1_OBJ_INVESTIGATE,"Aytolun fitnasini isbotla","Aytolun'un fitnesini kanitla","Prove Aytolun's conspiracy"
Q6_1_OBJ_DODURGA,"Tugtekin bilan mashq duelini ot","Tugtekin ile talim dueloya gir","Spar with Tugtekin"
Q6_1_OBJ_CAVDAR,"Chavdar yolini qaroqchilardan tozala","Cavdar yolunu haydutlardan temizle","Clear the Cavdar road of bandits"
Q6_1_OBJ_KONYA,"Konyada sulton huzuriga chiq","Konya'da sultanin huzuruna cik","Attend the Sultan in Konya"
Q6_1_OBJ_GUMUSTEKIN,"Gumushtekinni fosh qil","Gumustekin'i ifsa et","Expose Gumustekin"
Q6_1_OBJ_FORCES,"Ittifoqchi kuchlarni yig","Muttefik kuvvetleri topla","Gather the allied forces"
Q6_2_TITLE,"Tungi reyd","Gece baskini","The Night Raid"
Q6_2_OBJ_INFILTRATE,"Lagerga yashirin kir","Kampa sizarak gir","Infiltrate the camp"
Q6_2_OBJ_CATAPULTS,"Uch katapultni yoq","Uc mancinigi yak","Burn the three catapults"
Q6_2_OBJ_RAMS,"Ikki taranni yoq","Iki kocbasi yak","Burn the two rams"
Q6_2_OBJ_MOUNTED,"Otda Keshiklarni quv","Atla Kesikleri kovala","Ride down the Keshiks"
Q6_2_OBJ_TANGUT,"Tangutni maglub et","Tangut'u yen","Defeat Tangut"
Q6_2_OBJ_HAMZA,"Hamza taqdirini hal qil","Hamza'nin kaderini belirle","Decide Hamza's fate"
Q6_3_TITLE,"Final: Bayju Noyan","Final: Baycu Noyan","Final: Baiju Noyan"
Q6_3_OBJ_UNHORSE,"Noyanni otdan tushir","Noyan'i attan dusur","Unhorse Noyan"
Q6_3_OBJ_WHIP,"Qamchi hujumidan omon qol","Kirbac saldirisindan sag cik","Survive the whip assault"
Q6_3_OBJ_BLOODY,"Qonli duelda ustun kel","Kanli duelloda ustun gel","Prevail in the bloody duel"
Q6_3_OBJ_FINISHER,"Iymon tolganda yakunlovchi zarbani ber","Iman dolunca bitirici vurusu yap","Land the finisher when Faith is full"
Q6_3_OBJ_FATE,"Noyan taqdirini hal qil","Noyan'in kaderini belirle","Decide Noyan's fate"
Q6_3_OBJ_EPILOGUE,"Bahorni va yangi yurtni kut","Bahari ve yeni yurdu karsila","Greet the spring and the new homeland"
DLG_E1_HALIMA_1,"Bizni nega qutqardingiz? Siz bizni tanimaysiz.","Bizi neden kurtardiniz?","Why did you save us?"
DLG_E1_ERTUGRUL_ASK,"...","...","..."
DLG_E1_OPT_RESPECT,"Begunohga qilich kotarilgan joyda men jim turolmayman.","Masuma kilic kalkan yerde susamam.","Where a blade is raised against the innocent, I cannot stay silent."
DLG_E1_OPT_CURIOUS,"Sizni kim quvayotganini bilmoqchiman.","Sizi kimin kovaladigini ogrenmek istiyorum.","I want to know who is hunting you."
DLG_E1_OPT_CAUTIOUS,"Kimligingizni aytmaguningizcha, ishonch qiyin.","Kim oldugunuzu soylemedikce guvenmek zor.","Until you say who you are, trust is difficult."
DLG_E1_HALIMA_RESPECT,"Sizning sozingizda otangizning ovozi bor.","Sozunuzde babanizin sesi var.","Your father's voice is in your words."
DLG_E1_HALIMA_CURIOUS,"Bilganingiz sizni ham xavf ostiga qoyadi.","Bilmek sizi de tehlikeye atar.","Knowing will put you in danger too."
DLG_E1_HALIMA_CAUTIOUS,"Ehtiyot bolish aybmas. Lekin biz dushman emasmiz.","Ihtiyat kusur degil. Ama biz dusman degiliz.","Caution is no fault. But we are not your enemy."
DLG_E1_GUEST_OF_GOD,"Mehmon - Xudoning omonatidir.","Misafir Allah'in emanetidir.","A guest is a trust from God."
DLG_E1_BAMSI_SOUP,"Shorva tayyor! Kiyik emas, lekin qorin toydiradi.","Corba hazir!","Soup is ready!"
DLG_COUNCIL_OPEN,"Kengash ochildi. Kim nima desa, dalili bilan aytsin.","Kurultay acildi.","The council is open. Let each man speak with proof."
DLG_COUNCIL_ACCUSE,"Obamizda xoin bor. Men uni aytaman.","Obamizda hain var.","There is a traitor in our camp. I will name him."
DLG_COUNCIL_EVID_LETTER,"Nosir xonasidan olingan xat - Qayi muhri bilan.","Nasir'in odasindan alinan mektup.","The letter from Nasir's chamber, with the Kayi seal."
DLG_COUNCIL_EVID_SEAL,"Muhr nusxasi. Uni faqat bir kishi yasay olardi.","Muhur kopyasi.","A copy of the seal. Only one man could have made it."
DLG_COUNCIL_EVID_SELCAN,"Selcan Xotun tunda kim bilan gaplashganini aytdi.","Selcan Hatun soyledi.","Selcan Hatun told me whom he met at night."
DLG_COUNCIL_EVID_AYKIZ,"Aykiz osha tunni korgan yagona guvoh.","Aykiz o gecenin tek sahididir.","Aykiz is the only witness of that night."
DLG_COUNCIL_NO_PROOF,"Dalilim yoq, lekin men bilaman.","Delilim yok ama biliyorum.","I have no proof, but I know."
DLG_COUNCIL_DENY_LETTER,"Bir varaq qogoz bilan qon qardoshingni ayblaysanmi?","Bir yaprak kagitla mi suclarsin?","You accuse your blood brother over a scrap of paper?"
DLG_COUNCIL_DENY_SEAL,"Muhrni har temirchi yasashi mumkin!","Muhru her demirci yapabilir!","Any smith could forge that seal!"
DLG_COUNCIL_SELCAN,"Men... men bilmasdim nima qilayotganimni.","Ben... ne yaptigimi bilmiyordum.","I... I did not know what I was doing."
DLG_COUNCIL_AYKIZ,"Men uni osha tunda tegirmon yolida kordim.","Onu o gece degirmen yolunda gordum.","I saw him on the mill road that night."
DLG_COUNCIL_WEAK,"Koryapsizmi? Bolaning gazabidan boshqa hech nima yoq.","Goruyor musunuz?","You see? Nothing but a boy's anger."
DLG_COUNCIL_VERDICT,"Endi hukm meniki. Nima deysan, oglim?","Simdi hukum benim.","The judgement is mine now. What do you say, my son?"
DLG_COUNCIL_OPT_TRIAL,"Uni sudga tortaylik - oba korsin.","Onu yargilayalim.","Put him on trial, let the camp see."
DLG_COUNCIL_OPT_EXECUTE,"Xoinning jazosi bitta.","Hainin cezasi tektir.","There is only one penalty for a traitor."
DLG_COUNCIL_YIGIT_TAKEN,"Bey! Yigitni ogirlashdi! Amanos tomonga olib ketishdi!","Bey! Yigit'i kacirdilar!","Bey! Yigit has been taken! They rode toward Amanos!"
"chr.hanchi.name","Han egasi","Han sahibi","Innkeeper"
"chr.josus.name","Josus","Casus","Spy"
DLG_CRAFT_OPT,"Temirxona: nimadir yasab ber (temir/teri bilan)","Demirhane: bir sey yap (demir/deri ile)","Forge: craft something (iron/leather)"
DLG_CRAFT_MENU,"Temir keltirdingmi? Ayt, nima yasay: o'q, zirh, qilich, qalqon.","Demir getirdin mi? Soyle, ne yapayim: ok, zirh, kilic, kalkan.","Did you bring iron? Say what I should forge: arrows, armor, sword, shield."
DLG_CRAFT_ARROWS,"12 po'lat o'q (1 temir + 1 teri)","12 celik ok (1 demir + 1 deri)","12 steel arrows (1 iron + 1 leather)"
DLG_CRAFT_ARMOR,"Temir zirh (3 temir + 2 teri)","Demir zirh (3 demir + 2 deri)","Iron armor (3 iron + 2 leather)"
DLG_CRAFT_SWORD,"Damashq qilichi (4 temir)","Sam kilici (4 demir)","Damascus sword (4 iron)"
DLG_CRAFT_SHIELD,"Temir qoplamali qalqon (2 temir + 1 teri)","Demir kapli kalkan (2 demir + 1 deri)","Iron-bound shield (2 iron + 1 leather)"
DLG_CRAFT_BACK,"Hozircha kerak emas","Simdilik gerek yok","Not now"
DLG_CRAFT_DONE,"Bo'ldi, olov sovumasidan ol. Alloh yordamching bo'lsin, Ertug'rul.","Tamam, ates sogumadan al. Allah yardimcin olsun Ertugrul.","Done. Take it before the fire cools. May God be your helper, Ertugrul."
DLG_DREAM_INTRO,"Ertug'rul... Men Ulukayin, hayot daraxtiman. Uch belgini topding. Endi jumboqimga javob ber.","Ertugrul... Ben Ulukayin, hayat agaciyim. Uc isareti buldun. Simdi bilmeceme cevap ver.","Ertugrul... I am Ulukayin, the tree of life. You found the three signs. Now answer my riddle."
DLG_DREAM_R1_Q,"Qilichdan o'tkir, oltindan qimmat, yo'qotsang qaytmas. Bu nima?","Kilictan keskin, altindan degerli, kaybedersen geri gelmez. Nedir?","Sharper than a sword, dearer than gold, lost and never returned. What is it?"
DLG_DREAM_R1_A,"Kuch","Guc","Strength"
DLG_DREAM_R1_B,"Or-nomus (so'z)","Namus (soz)","Honor (a given word)"
DLG_DREAM_R1_C,"Oltin","Altin","Gold"
DLG_DREAM_R2_Q,"Qanoti yo'q, lekin uchadi; og'zi yo'q, lekin butun obani uyg'otadi. Bu nima?","Kanadi yok ama ucar; agzi yok ama butun obayi uyandirir. Nedir?","No wings yet it flies; no mouth yet it wakes the whole tribe. What is it?"
DLG_DREAM_R2_A,"Xabar (ovoza)","Haber","News (a rumor)"
DLG_DREAM_R2_B,"Burgut","Kartal","The eagle"
DLG_DREAM_R2_C,"Shamol","Ruzgar","The wind"
DLG_DREAM_R3_Q,"Bir ota - ko'p o'g'il; o'g'illari bir bo'lsa tog'ni ko'chiradi, ayrilsa qamishdek sinadi. Bu nima?","Bir baba - cok ogul; ogullar bir olsa dagi tasir, ayrilsa kamis gibi kirilir. Nedir?","One father, many sons; united they move mountains, divided they snap like reeds. What is it?"
DLG_DREAM_R3_A,"Qo'shin","Ordu","An army"
DLG_DREAM_R3_B,"Oila","Aile","A family"
DLG_DREAM_R3_C,"O'q dastasi (qabila birligi)","Ok demeti (boy birligi)","A bundle of arrows (the tribe's unity)"
DLG_DREAM_GOOD,"To'g'ri. Uyg'onganingda kuchingni to'liq topasan. Yo'ling ochiq bo'lsin.","Dogru. Uyandiginda gucunu tam bulacaksin. Yolun acik olsun.","Correct. When you wake, your strength will be whole. May your road be open."
DLG_DREAM_BAD,"Yo'q... Hali o'rganishing kerak. Tush tugadi, uyg'on.","Hayir... Daha ogrenmen gerek. Ruya bitti, uyan.","No... You still have much to learn. The dream ends. Wake."
DLG_CRAFT_TAN,"Teri oshlash (2 xom teri -> 3 charm)","Deri tabaklama (2 ham deri -> 3 deri)","Tan hides (2 raw hides -> 3 leather)"
DLG_CRAFT_BOW,"Kompozit kamon (1 temir + 2 charm)","Kompozit yay (1 demir + 2 deri)","Composite bow (1 iron + 2 leather)"
DLG_CRAFT_SADDLE,"Egar (1 temir + 3 charm) - ot +8% tez","Eyer (1 demir + 3 deri) - at +%8 hizli","Saddle (1 iron + 3 leather) - horse +8% speed"
DLG_TRIBE_GOLD,"Obaga 100 oltin hadya qilaman","Obaya 100 altin bagisliyorum","I donate 100 gold to the tribe"
DLG_TRIBE_MEAT,"Obaga 5 go'sht hadya qilaman","Obaya 5 et bagisliyorum","I donate 5 meat to the tribe"
DLG_TRIBE_LEATHER,"Obaga 3 charm hadya qilaman","Obaya 3 deri bagisliyorum","I donate 3 leather to the tribe"
DLG_TRIBE_THANKS,"Alloh rozi bo'lsin, o'g'lim. Oba kuchayadi, alplar ko'payadi.","Allah razi olsun oglum. Oba guclenir, alpler cogalir.","May God be pleased with you, my son. The tribe grows stronger, the alps more numerous."
