"keys","uz","tr","en"
"cut.ep003_intro.04","Bunday ishni kim qiladi? Bu odam o'ldirish emas.","Böyle bir işi kim yapar? Bu adam öldürmek değil.","Who does such a thing? This is not killing."
"cut.ep003_intro.05","Odamlarni qo'rqitmoqchi bo'lganlar qiladi. Qo'rquv ular uchun qurol.","İnsanları korkutmak isteyenler yapar. Korku onlar için silahtır.","Those who wish to frighten men do it. Fear is their weapon."
"cut.ep003_intro.06","Tepalikda oq plash bor. Ismini bilmayman, lekin yuzini eslab qolaman.","Tepede beyaz bir pelerin var. Adını bilmem ama yüzünü unutmam.","A white cloak on the ridge. I will remember that face."
"cut.ep004_intro.01","Kengash ochiq. Kim gapirsa, yuragidagini aytsin, nomini yashirmasin.","Kurultay açıktır. Konuşan yüreğindekini söylesin, adını gizlemesin.","The council is open. Whoever speaks, speak your heart, hide no name."
"cut.ep004_intro.02","Ota, yaylov qurib bordi. Janubga ko'chmasak, qish bizni sindiradi.","Baba, yayla kurudu. Güneye göçmezsek kış bizi kırar.","Father, the pasture is dry. If we do not go south, winter breaks us."
"cut.ep004_intro.03","Janubda salibchilar bor. Bu ko'chish emas, o'z qabringni qazish.","Güneyde haçlılar var. Bu göç değil, kendi mezarını kazmaktır.","Crusaders wait in the south. This is not migration; this is digging your grave."
"cut.ep004_intro.04","Qo'rquv bilan qolgan oba ochlik bilan o'ladi, Kurdo'g'li.","Korkuyla kalan oba açlıkla ölür Kurdoğlu.","A camp that stays out of fear dies of hunger, Kurdoglu."
"cut.ep004_intro.05","Ijozat bering, ota. Yer bizniki emas, yo'l bizniki.","İzin ver baba. Toprak bizim değil, yol bizimdir.","Permit me, father. The land is not ours; the road is ours."
"cut.ep004_intro.06","Bu qo'l qilich uchun tug'ilgan, o'g'lim. Yo'lni sen ochasan.","Bu el kılıç için doğmuş oğlum. Yolu sen açacaksın.","This hand was born for the sword, my son. You will open the road."
"cut.ep005_intro.01","To'rt yuz jon orqamizda, o'g'lim. Hammasi sening qadamingga qaraydi.","Dört yüz can arkamızda oğlum. Hepsi senin adımına bakıyor.","Four hundred souls behind us, son. All of them watch your step."
"cut.ep005_intro.02","Dovon tor, ona. Tuyalar birma-bir o'tishi kerak.","Geçit dar ana. Develer birer birer geçmeli.","The pass is narrow, mother. The camels must cross one by one."
"cut.ep005_intro.03","Qor tinmasa, kechgacha yo'l yopiladi. Kimni oldin o'tkazamiz?","Kar dinmezse akşama yol kapanır. Önce kimi geçiririz?","If the snow does not stop, the road closes by dusk. Who crosses first?"
"cut.ep005_intro.04","Beyim, o'ngdagi qiyalikda muz bor! Ot tuyog'i tutmaydi!","Beyim, sağdaki yamaçta buz var! At tırnağı tutmaz!","Bey, there is ice on the right slope! No hoof will hold there!"
"cut.ep005_intro.05","Men oldinda yuraman. Muz meni ko'tarsa, obani ham ko'taradi.","Ben önden yürürüm. Buz beni taşırsa obayı da taşır.","I will walk ahead. If the ice holds me, it will hold the camp."
"cut.ep005_intro.06","Avval bolalar va onalar. Alplar oxirida; bu buyruq emas, and.","Önce çocuklar ve analar. Alplar en sonda; bu emir değil, yemindir.","Children and mothers first. Alps last; this is not an order, it is an oath."
"cut.generic_intro.01","Oba uyg'onmoqda. Bugungi kun bizdan nima so'raydi, Turgut?","Oba uyanıyor. Bugün bizden ne isteyecek Turgut?","The camp is waking. What will this day ask of us, Turgut?"
"cut.generic_intro.02","Chegarada otliqlar ko'rindi, beyim. Bayroqlari yo'q, niyatlari qorong'i.","Sınırda atlılar göründü beyim. Bayrakları yok, niyetleri karanlık.","Riders were seen at the border, bey. No banners, and dark intentions."
"cut.generic_intro.03","Bayroqsiz yurgan odam o'z nomidan uyaladi.","Bayraksız yürüyen adam kendi adından utanır.","A man who rides without a banner is ashamed of his own name."
"cut.generic_intro.04","Alplarni yig'aymi, beyim? Qilichlar allaqachon charxlangan.","Alpları toplayalım mı beyim? Kılıçlar çoktan bilendi.","Shall we gather the alps, bey? The swords are already sharpened."
"cut.generic_intro.05","Yig'. Lekin qilich oxirgi so'z bo'lsin, birinchisi emas.","Topla. Ama kılıç son söz olsun, ilk söz değil.","Gather them. But let the sword be the last word, not the first."
"cut.generic.01","Yo'l bizni kutmaydi. Qadamimiz sekinlashsa, oba orqada qoladi.","Yol bizi beklemez. Adımımız yavaşlarsa oba geride kalır.","The road does not wait. If our pace slows, the camp falls behind."
"cut.generic.02","Buyruq bering, beyim. Alplar egardan tushmay tayyor turibdi.","Emrini ver beyim. Alplar eyerden inmeden hazır bekliyor.","Give the order, bey. The alps stand ready without leaving the saddle."
"cut.generic.03","Shoshilmaymiz. Avval ko'ramiz, keyin bilamiz, so'ng qilich tortamiz.","Acele etmeyiz. Önce görürüz, sonra biliriz, sonra kılıç çekeriz.","We will not rush. First we see, then we know, then we draw."
"cut.generic.04","Aytganingdek bo'lsin. Qayi obasi orqangdan yuradi, beyim.","Dediğin gibi olsun. Kayı obası ardından yürür beyim.","Let it be as you say. The Kayi camp walks behind you, bey."
"cut.ep007_intro.01","Bu shaharda uch ming ovoz bor, birortasi bizniki emas.","Bu şehirde üç bin ses var, hiçbiri bizim değil.","Three thousand voices in this city, and not one is ours."
"cut.ep007_intro.02","Bek, saroy shimolda. Yo'lni o'zimiz topamiz.","Bey, saray kuzeyde. Yolu kendimiz bulacağız.","Bey, the palace lies north. We will find the way ourselves."
"cut.ep007_intro.03","Ko'zingni pastda tut. Bu yerda qilich emas, odob kesadi.","Gözünü aşağıda tut. Burada kılıç değil, edep keser.","Keep your eyes low. Here manners cut deeper than steel."
"cut.ep007_intro.04","Men amirman. Lekin qarorni doim boshqa og'iz aytadi.","Ben emirim. Ama kararı hep başka bir ağız söyler.","I am the emir. Yet another mouth always speaks the ruling."
"cut.ep007_intro.05","Bolaning tojini men saqlayman. Yerni esa mendan so'rang.","Çocuğun tacını ben korurum. Toprağı ise benden isteyin.","I guard the boy's crown. Ask the land of me instead."
"cut.ep007_intro.06","Ustundagi qon qurigan, ammo temir hali ham och.","Direkteki kan kurumuş, ama demir hâlâ aç.","The blood on that post is dry; the iron still hungers."
"cut.ep008_intro.01","Cho'l odamga yulduzlarni o'rgatadi, keyin ovozini oladi.","Çöl insana yıldızları öğretir, sonra sesini alır.","The desert teaches a man the stars, then takes his voice."
"cut.ep008_intro.02","Bek, minoralar ko'rindi. Damashq bizni kutyapti.","Bey, minareler göründü. Şam bizi bekliyor.","Bey, the minarets have risen. Damascus is waiting for us."
"cut.ep008_intro.03","Maydonda bir odamni mixlashyapti. Men to'xtatolmayman.","Meydanda bir adamı çiviliyorlar. Ben durduramam.","In the square they are nailing a man. I cannot stop it."
"cut.ep008_intro.04","Nega qaray olmayapsan, o'g'lim? Ayt, nima ko'rding?","Neden bakamıyorsun evladım? Söyle bana, ne gördün?","Why can you not look, my son? Tell me what you saw."
"cut.ep008_intro.05","Chunki qo'lim bo'sh. Chunki men bu yerda begonaman.","Çünkü elim boş. Çünkü ben burada yabancıyım.","Because my hands are empty. Because here I am a stranger."
"cut.ep008_intro.06","Yo'q. Chunki sen o'sha mixni o'zingda ko'rding.","Hayır. Çünkü o çiviyi kendinde gördün.","No. Because you saw that very nail inside yourself."
"cut.ep009_intro.01","Chodirlar joyi o'zgargan. Oba menga begonadek qaraydi.","Çadırların yeri değişmiş. Oba bana yabancı gibi bakıyor.","The tents have shifted. The camp looks at me like a stranger."
"cut.ep009_intro.02","Sen yo'qligingda kimdir bu yerda yangi ip to'qidi.","Sen yokken biri burada yeni bir ip dokudu.","While you were gone, someone here wove a new thread."
"cut.ep009_intro.03","Bek o'g'li qaytdi. Endi oba yana ikkiga bo'linadi.","Bey oğlu döndü. Şimdi oba yine ikiye bölünür.","The bey's son returns. Now the camp splits in two again."
"cut.ep009_intro.04","Uning chodirida bir dasta mix bor. Taqa uchun uzun.","Çadırında bir deste çivi var. Nal için fazla uzun.","His tent holds a bundle of nails, too long for horseshoes."
"cut.ep009_intro.05","Dalil kuchsiz bo'lsa, ayblov emas, sabr qurol bo'ladi.","Delil zayıfsa, suçlama değil, sabır silah olur.","When proof is weak, patience becomes the weapon, not accusation."
"cut.ep009_intro.06","Sabr qil, o'g'lim. Xoin o'z ovozi bilan fosh bo'ladi.","Sabret oğlum. Hain kendi sesiyle ele verir.","Be patient, my son. A traitor is undone by his own voice."
"cut.ep010_intro.01","Aykiz, kul! Bu o'rmon bizning to'yimizni ko'radi.","Aykız, gül! Bu orman bizim düğünümüzü görecek.","Aykiz, laugh! This forest will yet see our wedding."
"cut.ep010_intro.02","Sekinroq yur, alp. Tuman ichida yo'l ko'rinmaydi.","Yavaş git alp. Sisin içinde yol görünmüyor.","Ride slower, alp. The road is lost inside this fog."
"cut.ep010_intro.03","Kamonlar tayyor. Yo'lni yopinglar, birortasi qaytmasin.","Yaylar hazır. Yolu kapatın, hiçbiri dönmesin.","Crossbows ready. Seal the road; let none of them return."
"cut.ep010_intro.04","Turgut! Ovozimni eshit, o'rmon seni yutmasin!","Turgut! Sesimi duy, orman seni yutmasın!","Turgut! Hear my voice, do not let the forest take you!"
"cut.ep010_intro.05","Ular uni sudrab ketishyapti. Barmoqlari yerni tirnaydi.","Onu sürükleyip götürüyorlar. Parmakları toprağı tırmalıyor.","They are dragging him away; his fingers claw the earth."
"cut.ep010_intro.06","Men bu izlarni unutmayman. Bagras darvozasi ochiladi.","Bu izleri unutmam. Bagras'ın kapısı açılacak.","I will not forget these marks. The gate of Bagras will open."
"cut.ep011_intro.01","Suv sovuq, nafas qisqa. Panjara qo'l bilan ochiladi.","Su soğuk, nefes kısa. Parmaklık elle açılacak.","The water is cold, the breath short. The grate opens by hand."
"cut.ep011_intro.02","Bek, mash'alni o'chir. Zulmat bugun bizning qalqonimiz.","Bey, meşaleyi söndür. Karanlık bugün bizim kalkanımız.","Bey, douse the torch. Tonight the darkness is our shield."
"cut.ep011_intro.03","Yigirma ikki qorovul. Birortasi qichqirsa, hammasi tugaydi.","Yirmi iki nöbetçi. Biri bağırırsa her şey biter.","Twenty-two guards. If one of them shouts, everything ends."
"cut.ep011_intro.04","Kim keldi? Yorug'likni olib keting, men aytmayman.","Kim geldi? Işığı götürün, ben söylemem.","Who is there? Take the light away; I will not speak."
"cut.ep011_intro.05","Kaftlaring sog' qolibdi. Ular seni mixlashmadi, qardosh.","Avuçların sağlam kalmış. Seni çivilemediler kardeşim.","Your palms are whole. They did not nail you, brother."
"cut.ep011_intro.06","Hali. Va men sening ismingni eslay olmayapman.","Henüz. Ve ben senin adını hatırlayamıyorum.","Not yet. And I cannot remember your name."
"cut.ep012_intro.01","Arqonni torting! Bu devor bugun ovozimizni eshitadi.","Halatı çekin! Bu duvar bugün sesimizi duyacak.","Pull the rope! Today this wall will hear our voice."
"cut.ep012_intro.02","To'rt ming askar, sakson oq plash. Devor hali baland.","Dört bin asker, seksen ak pelerin. Duvar hâlâ yüksek.","Four thousand soldiers, eighty white cloaks. The wall still stands high."
"cut.ep012_intro.03","Bek, mancınıq tayyor! Tosh uchsa, chang bizni yashiradi.","Bey, mancınık hazır! Taş uçarsa toz bizi gizler.","Bey, the trebuchet is ready! When the stone flies, dust hides us."
"cut.ep012_intro.04","Narvonlar burjga qo'yildi. Yuqorida faqat o'lim kutadi.","Merdivenler burca dayandı. Yukarıda sadece ölüm bekliyor.","The ladders rest on the tower. Above, only death is waiting."
"cut.ep012_intro.05","Men qamalni yutish uchun kelmadim. Turgutni olib chiqaman.","Ben kuşatmayı kazanmaya gelmedim. Turgut'u çıkaracağım.","I did not come to win a siege. I came for Turgut."
"cut.ep012_intro.06","Halab lashkari yiqilsa ham, sizning nomingiz qoladi.","Halep ordusu düşse de sizin adınız kalır.","Even if Aleppo's army falls, your name will remain."
"cut.ep013_intro.01","Yigirma ming odam, bitta nafas. Nog'ora hali jim.","Yirmi bin adam, tek nefes. Davul henüz sessiz.","Twenty thousand men, one breath. The war drum is still silent."
"cut.ep013_intro.02","Bek, saf ichida yurmoq, bu ham bir duo.","Bey, safın içinde yürümek de bir duadır.","Bey, to walk among the ranks is itself a prayer."
"cut.ep013_intro.03","Chap qanot ushlansa, Xorazm shohi maydonni tashlaydi.","Sol kanat tutulursa Harezm şahı meydanı bırakır.","Hold the left wing and the Khwarezm shah will quit the field."
"cut.ep013_intro.04","Sultonim, chap qanotni turkman alplari ushlab turadi.","Sultanım, sol kanadı Türkmen alpleri tutacak.","My Sultan, the Turkmen alps will hold the left wing."
"cut.ep013_intro.05","Qiziq. Bir uch begi sultonga qanot va'da qilyapti.","İlginç. Bir uç beyi sultana kanat vaat ediyor.","Curious. A frontier bey promises the Sultan a wing."
"cut.ep013_intro.06","Sen kimsan, turkman? Bugun ismingni maydon aytadi.","Sen kimsin Türkmen? Bugün adını meydan söyleyecek.","Who are you, Turkman? Today the field will speak your name."
"chr.al_aziz.name","Al-Aziz Muhammad","el-Aziz Muhammed","Al-Aziz Muhammad"
"chr.togrul.name","Atabek Shihobuddin To'g'ril","Atabey Şihabüddin Tuğrul","Atabeg Shihab al-Din Toghril"
"chr.ibn_arabi.name","Ibn Arabiy","İbn Arabî","Ibn Arabi"
"chr.alauddin.name","Sulton Alauddin Kayqubod","Sultan Alâeddin Keykubad","Sultan Alaeddin Kayqubad I"
"chr.kopek.name","Sa'd al-Din Ko'pek","Sadettin Köpek","Sa'd al-Din Kopek"
"cut.ep014_intro.01","Sultonning ovida shoshilinch qadam yo'q, bek. Faqat sabr bor.","Sultanın avında acele adım yoktur bey, yalnızca sabır vardır.","On the sultan's hunt there is no haste, bey — only patience."
"cut.ep014_intro.02","O'rmon jim. Qushlar uchmayapti. Kimdir bizdan oldin kelgan.","Orman sessiz. Kuşlar uçmuyor. Birileri bizden önce gelmiş.","The forest is silent. No birds rise. Someone came before us."
"cut.ep014_intro.03","Ko'zingiz o'tkir ekan, bek. Sizni shuning uchun chaqirdim.","Gözünüz keskinmiş bey. Sizi tam da bunun için çağırdım.","Your eye is sharp, bey. That is exactly why I summoned you."
"cut.ep014_intro.04","Ov — davlatning kichik surati. Kim kimni quvlayotganini ko'ring.","Av, devletin küçük bir suretidir. Kimin kimi kovaladığını görün.","A hunt is the state in miniature. See who chases whom."
"cut.ep014_intro.05","Mana xanjarim. Dastasi mix boshi — mix hech qachon yashirinmaydi.","İşte hançerim. Kabzası çivi başı — çivi asla saklanmaz.","Here is my dagger. Its hilt a nail head — nails never hide."
"cut.ep014_intro.06","Qurol emas, niyat yashirinmasligi kerak, emir hazratlari.","Silah değil, niyet saklanmamalıdır emir hazretleri.","Not the weapon, my emir — it is intent that must not hide."
"cut.ep015_intro.01","Bu yer bo'sh. Ertaga bu yerda oba nafas oladi.","Burası boş. Yarın burada bir oba nefes alacak.","This ground is empty. Tomorrow a tribe will breathe here."
"cut.ep015_intro.02","Birinchi qoziqni o'zing qoq. Zamin ismingni eslab qolsin.","İlk kazığı kendin çak. Toprak adını hatırlasın.","Drive the first stake yourself. Let the earth remember your name."
"cut.ep015_intro.03","Qoziq chuqur ketsin — chuqur ildiz shamoldan qo'rqmaydi.","Kazık derine insin — derin kök rüzgârdan korkmaz.","Let the stake go deep — deep roots do not fear wind."
"cut.ep015_intro.04","Temirxona tayyor, bek. Endi olov bizning tilimizda gapiradi.","Demirhane hazır bey. Artık ateş bizim dilimizde konuşuyor.","The forge is ready, bey. Now the fire speaks our tongue."
"cut.ep015_intro.05","Har mix bir maqsad uchun yasaladi. Bunisini buyurtma bilan yasadim.","Her çivi bir maksat için dövülür. Bunu sipariş üzerine dövdüm.","Every nail is forged for a purpose. This one was ordered."
"cut.ep015_intro.06","Kim buyurgan bo'lsa, bir kun uni tanib qolamiz.","Kim sipariş verdiyse, bir gün onu tanıyacağız.","Whoever ordered it, one day we will know his face."
"cut.ep015_intro.07","Chegarada olov ko'rinyapti. Kimdir tunda ko'chib kelmoqda.","Sınırda ateşler görünüyor. Birileri gece göç ediyor.","Fires on the border. Someone is moving through the night."
"cut.ep016_intro.01","O'n minglab odam. Birortasi bizga qilich ko'tarmadi.","On binlerce insan. Hiçbiri bize kılıç kaldırmadı.","Tens of thousands of people. Not one raised a sword."
"cut.ep016_intro.02","Amaki, noningiz bormi? Onam uch kundan beri uxlayapti.","Amca, ekmeğin var mı? Annem üç gündür uyuyor.","Uncle, have you bread? My mother has slept three days."
"cut.ep016_intro.03","Uchta nonim bor. Ikkitasini ol, onangni uyg'ot.","Üç ekmeğim var. İkisini al, anneni uyandır.","I have three loaves. Take two and wake your mother."
"cut.ep016_intro.04","Meni sarkarda deyishadi. Men esa och og'izlarni sanayman.","Bana kumandan diyorlar. Bense aç ağızları sayıyorum.","They call me a commander. I only count hungry mouths."
"cut.ep016_intro.05","Bu chandiqni mo'g'ul qoldirmadi. Uni o'z sultonim mixladi.","Bu izi Moğol bırakmadı. Bunu kendi sultanım çiviledi.","No Mongol left this scar. My own sultan nailed it there."
"cut.ep016_intro.06","Xiyonat qilmagan odamni faqat qo'rqoq sulton mixlaydi.","İhanet etmemiş bir adamı ancak korkak bir sultan çiviler.","Only a frightened sultan nails a man who never betrayed him."
"cut.ep016_intro.07","Bir kun siz ham qochasiz. O'shanda menda joy bor.","Bir gün siz de kaçacaksınız. O gün bende yer var.","One day you will flee too. I will keep a place."
"cut.ep017_intro.01","Konya devorlari toshdan emas — qog'oz va muhrdan qurilgan.","Konya'nın duvarları taştan değil — kâğıt ve mühürden örülmüş.","Konya's walls are not stone — they are paper and seals."
"cut.ep017_intro.02","Ochilmagan kitob devordir. Ochilsa — darvoza bo'ladi, bek.","Açılmamış kitap duvardır. Açılırsa kapı olur bey.","An unopened book is a wall. Opened, it becomes a gate."
"cut.ep017_intro.03","Men harflarni tanimayman. Lekin yolg'onni yozuvsiz ham o'qiyman.","Harfleri tanımıyorum. Ama yalanı yazısız da okurum.","I do not know letters. Yet I read a lie unwritten."
"cut.ep017_intro.04","Demak siz allaqachon o'qiy boshlagansiz. Faqat sabr qiling.","Öyleyse siz çoktan okumaya başlamışsınız. Yalnızca sabredin.","Then you have already begun to read. Only be patient."
"cut.ep017_intro.05","Muhringiz tayyor, bek. Men uni bir kechada topdim.","Mührünüz hazır bey. Onu bir gecede buldum.","Your seal is ready, bey. I found it in one night."
"cut.ep017_intro.06","Men sizga yordam berdim. Bir kun men ham so'rayman.","Ben size yardım ettim. Bir gün ben de isteyeceğim.","I have helped you, bey. One day I shall ask as well."
"cut.ep017_intro.07","So'rang. Lekin men qarzni qilich bilan to'lamayman.","İsteyin. Fakat ben borcu kılıçla ödemem.","Ask, then. But I will not pay a debt with steel."
"cut.ep018_intro.01","Yaylov gullagan. Bu yozni bolalar umrbod eslab qoladi.","Yayla çiçek açtı. Bu yazı çocuklar ömür boyu hatırlar.","The high pasture is in bloom. The children will remember this summer."
"cut.ep018_intro.02","Kamonni o'zim yasadim. Yog'ochi yosh, xuddi sening kabi.","Yayı kendim yaptım. Ağacı genç, tıpkı senin gibi.","I made this bow myself. Its wood is young, like you."
"cut.ep018_intro.03","Ota, sening qo'ling katta. Menikiga sig'maydi.","Baba, senin elin büyük. Benimkine sığmıyor.","Father, your hand is big. Mine cannot hold it."
"cut.ep018_intro.04","Bir kun mening qo'lim senga kichkina ko'rinadi, o'g'lim.","Bir gün benim elim sana küçük görünecek oğlum.","One day my hand will look small to you, my son."
"cut.ep018_intro.05","Bek, tog' etagida chorva yiqilyapti. Bo'rilar ham g'alati.","Bey, dağ eteğinde hayvanlar düşüyor. Kurtlar da tuhaf.","Bey, cattle are falling below the ridge. The wolves act strangely."
"cut.ep018_intro.06","Bayram to'xtamasin. Lekin bu kecha qo'riqchini ko'paytiramiz.","Şenlik durmasın. Ama bu gece nöbeti çoğaltacağız.","Let the feast go on. But tonight we double the watch."
"cut.ep018_intro.07","Chopar keldi. Sulton kasal — Kubadabadga chaqiryapti.","Ulak geldi. Sultan hasta — Kubadabad'a çağırıyor.","A rider came. The sultan is ill — he summons you to Kubadabad."
"cut.ep019_intro.01","Bu dasturxonda hamma do'st. Shuning uchun men ehtiyot bo'laman.","Bu sofrada herkes dosttur. Ben de bu yüzden ihtiyatlıyım.","At this table everyone is a friend. That is why I stay careful."
"cut.ep019_intro.02","Kimdir yemayapti, hazratim. Kimdir qo'lini juda ko'p yuvyapti.","Biri yemek yemiyor hazretlerim. Biri de ellerini fazlaca yıkıyor.","Someone is not eating, my lord. Someone washes his hands too often."
"cut.ep019_intro.03","Siz juda ko'p ko'rasiz, bek. Ko'zni yopib bo'ladi, qo'lni ham.","Siz çok görüyorsunuz bey. Göz kapatılabilir, el de.","You see too much, bey. An eye can be closed. A hand too."
"cut.ep019_intro.04","Otamning kosasi to'ldi. Endi hamma jim tursin.","Babamın kâsesi doldu. Artık herkes sussun.","My father's cup is full. Let everyone be silent now."
"cut.ep019_intro.05","Bu ta'mni bilaman... Bu taom emas, bu hukm.","Bu tadı biliyorum... Bu yemek değil, bu bir hüküm.","I know this taste... This is not food. This is a verdict."
"cut.ep019_intro.06","Sulton yiqildi! Eshiklarni yoping, hech kim chiqmasin!","Sultan düştü! Kapıları kapatın, kimse çıkmasın!","The sultan has fallen! Bar the doors — let no one leave!"
"cut.ep019_intro.07","Kech bo'ldi, bek. Endi taxt yangi ismni kutmoqda.","Geç kaldınız bey. Artık taht yeni bir isim bekliyor.","Too late, bey. The throne now waits for a new name."
"cut.ep020_intro.01","Bozor ochiq, bek. Lekin hech kim savdo qilmayapti.","Pazar açık bey. Ama kimse alışveriş etmiyor.","The market is open, bey. Yet no one is trading."
"cut.ep020_intro.02","Har burchakda yangi jasad. Konya nafasini yutib turibdi.","Her köşede yeni bir ceset. Konya nefesini tutmuş.","A fresh corpse on every corner. Konya is holding its breath."
"cut.ep020_intro.03","Anavi devordagi mixlar hali qurimagan, bek. Qon yangi.","Şu duvardaki çiviler henüz kurumamış bey. Kan taze.","The nails in that wall are still wet, bey. The blood is fresh."
"cut.ep020_intro.04","Qo'rquv qilichdan tez tarqaladi. Uni faqat guvoh to'xtatadi.","Korku kılıçtan hızlı yayılır. Onu ancak şahit durdurur.","Fear spreads faster than steel. Only a witness can stop it."
"cut.ep020_intro.05","Xush kelibsiz, bek. Shahar bugun juda tartibli, ko'rdingizmi?","Hoş geldiniz bey. Şehir bugün pek düzenli, gördünüz mü?","Welcome, bey. The city is very orderly today — did you notice?"
"cut.ep020_intro.06","Farmon yozildi: bek Ertug'rul Konyaga kelsin. Yolg'iz.","Ferman yazıldı: Bey Ertuğrul Konya'ya gelsin. Yalnız.","The decree is written: Bey Ertugrul shall come to Konya. Alone."
"cut.ep020_intro.07","Kelaman. Yolg'iz emas — men bilan barcha guvohlar keladi.","Geleceğim. Yalnız değil — benimle bütün şahitler gelecek.","I will come. Not alone — every witness comes with me."
"chr.kayqubad.name","Sulton Alouddin Kayqubod","Sultan Alâeddin Keykubad","Sultan Alaeddin Kayqubad"
"chr.kaykhusraw.name","G'iyosiddin Kayxusrav II","Gıyaseddin Keyhüsrev II","Ghiyath al-Din Kaykhusraw II"
"chr.kir_khan.name","Kir Xon","Kır Han","Kir Khan"
"chr.rumi.name","Jaloliddin Rumiy","Celâleddin Rûmî","Jalal al-Din Rumi"
"chr.gunduz.name","Gunduz","Gündüz","Gunduz"
"chr.orphan_boy.name","Yetim bola","Öksüz çocuk","Orphan Boy"
"chr.xizmatkor.name","Xizmatkor","Hizmetkâr","Servant"
"chr.husam.name","Husomiddin Qaraja","Hüsameddin Karaca","Husameddin Karaca"
"chr.sungur.name","Sung'ur","Sungur","Sungur"
"chr.jallod.name","Jallod","Cellat","Executioner"
