keys,uz,tr,en
ui.season.s4,"SO'NGGI YURISH","SON YÜRÜYÜŞ","THE LAST MARCH"
season.s1.title,"SARHAD","SERHAT","THE FRONTIER"
season.s2.title,"SULTON SOYASI","SULTANIN GÖLGESİ","SHADOW OF THE SULTAN"
season.s3.title,"QORA BULUT","KARA BULUT","THE BLACK CLOUD"
season.s4.title,"SO'NGGI YURISH","SON YÜRÜYÜŞ","THE LAST MARCH"
ui.arch.INVESTIGATION,"Tergov","Soruşturma","Investigation"
ui.arch.SIEGE,"Qamal","Kuşatma","Siege"
ui.arch.INFILTRATION,"Yashirin kirish","Sızma","Infiltration"
ui.arch.COURT,"Saroy o'yinlari","Saray entrikası","Court intrigue"
ui.arch.ESCORT,"Hamrohlik","Refakat","Escort"
ui.arch.DEFENSE,"Mudofaa","Savunma","Defense"
ui.arch.CHASE,"Ta'qib","Takip","Chase"
ui.arch.SURVIVAL,"Omon qolish","Hayatta kalma","Survival"
ui.arch.RITUAL,"Marosim","Ayin","Ritual"
ui.introarch.WALK,"Yurish","Yürüyüş","Walk"
ui.introarch.WATCH,"Kuzatuv","Gözlem","Watch"
ui.introarch.HANDS,"Qo'llar","Eller","Hands"
ui.introarch.PLUNGE,"Sho'ng'ish","Dalış","Plunge"
ui.introarch.BREATH,"Nafas","Nefes","Breath"
ui.introarch.LABOUR,"Mehnat","Emek","Labour"
ui.introarch.OTHER_EYES,"O'zga ko'zlar","Başkasının gözünden","Other eyes"
"ui.settings.sections","BO'LIMLAR","BÖLÜMLER","SECTIONS"
"ui.settings.hint","chap / o'ng — qiymat","sol / sağ — değer","left / right — value"
"ui.settings.nav_hint","Yuqori / Quyi — qator · Chap / O'ng — qiymat · Tab — bo'lim · Enter — o'zgartirish · Esc — orqaga","Yukarı / Aşağı — satır · Sol / Sağ — değer · Tab — bölüm · Enter — değiştir · Esc — geri","Up / Down — row · Left / Right — value · Tab — section · Enter — change · Esc — back"
"ui.settings.tab.game","O'yin","Oyun","Game"
"ui.settings.tab.graphics","Grafika","Grafik","Graphics"
"ui.settings.tab.audio","Ovoz","Ses","Audio"
"ui.settings.tab.controls","Boshqaruv","Kontroller","Controls"
"ui.settings.tab.interface","Interfeys","Arayüz","Interface"
"ui.settings.tab.language","Til va subtitrlar","Dil ve altyazı","Language & subtitles"
"ui.settings.press_key","YANGI KLAVISHNI BOSING","YENİ TUŞA BASIN","PRESS A NEW KEY"
"ui.settings.conflict","Klavish bo'shatildi","Tuş serbest bırakıldı","Key unbound from"
"ui.settings.reset_keys","Standart klavishlarni tiklash","Varsayılan tuşlara dön","Reset to defaults"
"ui.settings.vsync","Vertikal sinxronizatsiya","Dikey senkronizasyon","V-Sync"
"ui.settings.hud","HUD ko'rsatish","HUD göster","Show HUD"
"ui.settings.hints","Boshqaruv eslatmalari","Kontrol ipuçları","Control hints"
"ui.actgrp.movement","Harakat","Hareket","Movement"
"ui.actgrp.combat","Jang","Savaş","Combat"
"ui.actgrp.world","Dunyo","Dünya","World"
"ui.actgrp.system","Tizim","Sistem","System"
"ui.act.move_forward","Oldinga","İleri","Move forward"
"ui.act.move_back","Orqaga","Geri","Move back"
"ui.act.move_left","Chapga","Sola","Move left"
"ui.act.move_right","O'ngga","Sağa","Move right"
"ui.act.run","Yugurish","Koşma","Sprint"
"ui.act.crouch","Cho'kkalash","Çömelme","Crouch"
"ui.act.dodge","Chetlanish","Kaçınma","Dodge"
"ui.act.light_attack","Yengil zarba","Hafif darbe","Light attack"
"ui.act.heavy_attack","Og'ir zarba","Ağır darbe","Heavy attack"
"ui.act.parry","Parry / Blok","Savuşturma / Blok","Parry / Block"
"ui.act.kick","Tepish","Tekme","Kick"
"ui.act.bow","Kamon","Yay","Bow"
"ui.act.takedown","Yashirin o'ldirish","Sessiz infaz","Takedown"
"ui.act.interact","Aloqa","Etkileşim","Interact"
"ui.act.horse","Ot chaqirish","At çağırma","Call horse"
"ui.act.bilge_goz","Bilge Ko'z","Bilge Göz","Wise Eye"
"ui.act.journal","Safar daftari","Sefer defteri","Journal"
"ui.act.timeline","Vaqt chizig'i","Zaman çizgisi","Timeline"
"ui.act.year_card","Yil kartasi","Yıl kartı","Year card"
"ui.act.bind_hand","Qo'lni bog'lash","Eli bağlama","Bind hand"
"ui.act.hide_hand","Qo'lni yashirish","Eli gizleme","Hide hand"
"ui.act.zikr","Zikr","Zikir","Zikr"
"ui.act.falcon","Lochin","Şahin","Falcon"
"ui.act.pause","Pauza","Duraklat","Pause"
"ui.act.skip_scene","Sahnani o'tkazish","Sahneyi atla","Skip scene"
"ui.act.advance","Replikani tezlatish","Repliği hızlandır","Advance line"
"ui.act.parkour_up","Parkur: yuqoriga","Parkur: yukarı","Parkour up"
"ui.act.parkour_down","Parkur: pastga","Parkur: aşağı","Parkour down"
"ui.state.idle","Turibdi","Duruyor","Idle"
"ui.state.walk","Yurmoqda","Yürüyor","Walking"
"ui.state.jog","Yengil yugurish","Hafif koşu","Jogging"
"ui.state.sprint","Erkin yurish","Serbest koşu","Free-running"
"ui.state.crouchidle","Cho'kkalagan","Çömelmiş","Crouching"
"ui.state.crouchwalk","Yashirin yurish","Gizli yürüyüş","Sneaking"
"ui.state.slide","Sirg'alish","Kayma","Sliding"
"ui.state.vault","Sakrab o'tish","Atlama","Vaulting"
"ui.state.mantle","Tepaga chiqish","Tırmanış","Mantling"
"ui.state.climb","Devorga chiqish","Duvara tırmanma","Climbing"
"ui.state.hang","Osilgan","Asılı","Hanging"
"ui.state.shimmy","Yon siljish","Yana kayma","Shimmying"
"ui.state.eject","Orqaga sakrash","Geri sıçrama","Ejecting"
"ui.state.jumpup","Sakrash","Sıçrama","Jumping"
"ui.state.fall","Tushmoqda","Düşüyor","Falling"
"ui.state.land","Qo'nish","İniş","Landing"
"ui.state.rollland","Dumalab qo'nish","Takla ile iniş","Roll landing"
"ui.state.wallrun","Devor bo'ylab","Duvar koşusu","Wall-running"
"ui.state.dodge","Chetlanish","Kaçınma","Dodging"
"ui.state.assassinate","Yashirin o'ldirish","Sessiz infaz","Assassinating"
"ui.state.leapoffaith","Iymon sakrashi","İnanç sıçrayışı","Leap of faith"
"ui.profile.low","Past profil","Düşük profil","Low profile"
"ui.profile.high","Yuqori profil","Yüksek profil","High profile"
"ui.hud.noise","Shovqin","Gürültü","Noise"
"ui.hud.eagle","Bilge Ko'z","Bilge Göz","Wise Eye"
"ui.state.crouch_idle","Cho'kkalagan","Çömelmiş","Crouching"
"ui.state.crouch_walk","Yashirin yurish","Gizli yürüyüş","Sneaking"
"ui.state.roll_land","Dumalab qo'nish","Takla ile iniş","Roll landing"
"ui.state.jump_up","Sakrash","Sıçrama","Jumping"
"ui.state.wall_run","Devor bo'ylab","Duvar koşusu","Wall-running"
"ui.state.leap_of_faith","Iymon sakrashi","İnanç sıçrayışı","Leap of faith"
"ui.act.lock_on","Nishonni qulflash","Hedef kilitle","Lock on target"
"ui.state.attack_light","Yengil zarba","Hafif darbe","Light attack"
"ui.state.attack_heavy","Og'ir zarba","Ağır darbe","Heavy attack"
"ui.state.kick","Tepish","Tekme","Kick"
"ui.state.blocking","Himoya","Blok","Blocking"
"ui.state.parrying","Parry","Savuşturma","Parrying"
"ui.state.parry_success","Parry ishladi!","Savuşturma başarılı!","Parry!"
"ui.state.hurt","Zarba yedi","Darbe aldı","Hurt"
"ui.state.staggered","Muvozanat buzildi","Denge bozuldu","Staggered"
"ui.state.executing","Yakunlovchi zarba","Bitirici darbe","Finisher"
"ui.state.dead","Halok bo'ldi","Öldü","Dead"
"ui.obj.defeat_all","Barcha dushmanlarni yo'q qiling","Tüm düşmanları yok edin","Defeat all enemies"
"ui.obj.defeat_count","Dushmanlarni yo'q qiling","Düşmanları yok edin","Defeat enemies"
"ui.obj.reach_point","Belgilangan joyga yeting","Belirlenen yere ulaşın","Reach the marker"
"ui.obj.survive","Omon qoling","Hayatta kalın","Survive"
"ui.obj.undetected","Sezilmang","Fark edilmeyin","Stay undetected"
"ui.obj.assassinate","Nishonni yashirincha o'ldiring","Hedefi sessizce öldürün","Assassinate the target"
"ui.obj.title","MAQSADLAR","HEDEFLER","OBJECTIVES"
"ui.obj.failed","bajarilmadi","başarısız","failed"
"ui.hud.health","Sog'liq","Sağlık","Health"
"ui.hud.breath","Nafas","Nefes","Breath"
"ui.hud.posture","Poza","Denge","Posture"
"ui.hud.hand","Qo'l","El","Hand"
"ui.hud.enemies","Dushmanlar","Düşmanlar","Enemies"
"ui.hud.wave","To'lqin","Dalga","Wave"
"ui.hud.checkpoint","Nazorat nuqtasi saqlandi","Kontrol noktası kaydedildi","Checkpoint saved"
"ui.hud.execute","Yakunlovchi zarba","Bitirici darbe","Finisher"
"ui.hud.assassinate","Yashirin o'ldirish","Sessiz infaz","Assassinate"
"ui.hud.locked","Qulflandi","Kilitlendi","Locked on"
"ui.fail.title","HALOK BO'LDINGIZ","ÖLDÜNÜZ","YOU HAVE FALLEN"
"ui.fail.line","Sabr — jangchining eng o'tkir qurolidir.","Sabır — savaşçının en keskin silahıdır.","Patience is a warrior's sharpest blade."
"ui.fail.retry","Nazorat nuqtasidan qayta urinish","Kontrol noktasından tekrar dene","Retry from checkpoint"
"ui.fail.restart","Epizodni boshidan","Bölümü baştan","Restart episode"
"ui.fail.menu","Bosh menyuga","Ana menüye","Back to menu"
"ui.fail.deaths","O'limlar","Ölümler","Deaths"
"ui.done.title","EPIZOD BAJARILDI","BÖLÜM TAMAMLANDI","EPISODE COMPLETE"
"ui.done.kills","Yo'q qilingan","Yok edilen","Defeated"
"ui.done.time","Vaqt","Süre","Time"
"ui.done.next","Keyingi epizod","Sonraki bölüm","Next episode"
"ui.done.menu","Bosh menyuga","Ana menüye","Back to menu"
"ui.done.unlocked","Yangi epizod ochildi","Yeni bölüm açıldı","New episode unlocked"
"ui.episodes.done","bajarildi","tamamlandı","completed"
"ui.episodes.locked2","yopiq","kilitli","locked"
"ui.brief.title","JANGGA TAYYORLANING","SAVAŞA HAZIRLANIN","PREPARE FOR BATTLE"
"ui.act.walk","Yurish","Yürüme","Walk"
"ui.controls.walk","Yurish (past profil)","Yürüme (alçak profil)","Walk (low profile)"
"ui.faith.adashgan","Adashgan","Yolunu şaşırmış","Astray"
"ui.faith.shubha","Shubha","Şüphe","Doubt"
"ui.faith.sobit","Sobit","Sabit","Steadfast"
"ui.faith.sukunat","Sukunat","Sükûnet","Silence"
"ui.hud.faith","Iymon","İman","Faith"
"ui.state.bow_aim","Nishonga olish","Nişan alma","Aiming"
"ui.state.bow_shoot","O'q otildi","Ok atıldı","Shot"
"ui.hud.arrows","O'qlar","Oklar","Arrows"
"ui.controls.bow","Kamon (ushlang)","Yay (basılı tut)","Bow (hold)"
"ui.obj.route","Yo'lni bosib o'ting","Yolu kat edin","Follow the route"
"ui.obj.hunt","Kiyik oving (kamon)","Geyik avlayın (yay)","Hunt deer (bow)"
"ui.obj.collect","Dalillarni toping","Kanıtları bulun","Find the clues"
"ui.obj.hold","Nuqtani ushlab turing","Noktayı tutun","Hold the position"
"ui.obj.timer","Vaqtida yeting","Zamanında ulaşın","Make it in time"
"ui.obj.guards","Qorovullarni yo'q qiling","Muhafızları yok edin","Eliminate the guards"
"ui.obj.duel","Raqibni yakkama-yakka yenging","Rakibi teke tek yenin","Win the duel"
"ui.phase.travel","Yo'l","Yol","Journey"
"ui.phase.hunt","Ov","Av","Hunt"
"ui.phase.stealth","Yashirin","Gizli","Stealth"
"ui.phase.defend","Himoya","Savunma","Defense"
"ui.phase.collect","Qidiruv","Arama","Search"
"ui.phase.duel","Yakkama-yakka","Düello","Duel"
"ui.phase.fight","Jang","Savaş","Battle"
"ui.hud.phase","Bosqich","Aşama","Phase"
"ui.enemy.deer","Kiyik","Geyik","Deer"
